coin,symbol,price(USD),1h_Price_Change,24h_Price_Change,7d_Price_Change,24h_volume,Market_cap,date
VeChain,VET,0.047848054559,0.027999999999999997,0.033,0.027999999999999997,283498801.0,3172681612.0,2022-03-16
Fantom,FTM,1.22,0.043,0.022000000000000002,-0.079,1173101401.0,3072929159.0,2022-03-16
Filecoin,FIL,17.27,0.016,0.01,-0.040999999999999995,264401106.0,3052322720.0,2022-03-16
Osmosis,OSMO,9.39,0.013999999999999999,0.018000000000000002,-0.001,94042665.0,3040277019.0,2022-03-16
Klaytn,KLAY,1.1,0.016,0.023,-0.012,57133059.0,3034567731.0,2022-03-16
Frax,FRAX,0.998392,-0.002,0.001,-0.0,18194194.0,2866968260.0,2022-03-16
Waves,WAVES,28.62,0.013999999999999999,0.081,0.273,1508088374.0,2862185867.0,2022-03-16
Theta Network,THETA,2.82,0.032,0.033,-0.004,118835496.0,2798708447.0,2022-03-16
Magic Internet Money,MIM,0.997676,0.0,0.004,0.002,44641451.0,2784271477.0,2022-03-16
The Graph,GRT,0.440816,0.003,0.040999999999999995,0.315,388652958.0,2731591470.0,2022-03-16
Tezos,XTZ,3.05,0.021,0.025,0.013000000000000001,114838106.0,2665887669.0,2022-03-16
cUSDC,CUSDC,0.022533007284,-0.001,0.001,0.001,41.83,2449140377.0,2022-03-16
Helium,HNT,21.72,-0.002,0.048,0.026000000000000002,22415718.0,2183873719.0,2022-03-16
THORChain,RUNE,7.23,0.04,-0.059000000000000004,0.769,297836092.0,2165143023.0,2022-03-16
EOS,EOS,2.06,0.019,0.032,0.048,337828464.0,2019196307.0,2022-03-16
ECOMI,OMI,0.003406821495,0.019,0.027000000000000003,-0.21899999999999997,3444049.0,1976983567.0,2022-03-16
IOTA,MIOTA,0.712336,0.018000000000000002,0.011000000000000001,0.012,26950213.0,1976598984.0,2022-03-16
cDAI,CDAI,0.021895790224,-0.001,0.0,-0.0,93.89,1942222665.0,2022-03-16
Flow,FLOW,5.43,0.017,0.023,-0.053,57457444.0,1923544184.0,2022-03-16
Theta Fuel,TFUEL,0.162482,0.024,0.006999999999999999,0.064,16105407.0,1886178774.0,2022-03-16
Aave,AAVE,137.44,0.037000000000000005,0.131,0.129,282336331.0,1862097786.0,2022-03-16
Zcash,ZEC,148.94,0.02,0.065,0.075,276825707.0,1801878133.0,2022-03-16
Maker,MKR,1982.58,0.028999999999999998,0.071,0.129,92847731.0,1772467945.0,2022-03-16
JUNO,JUNO,38.35,0.018000000000000002,0.096,-0.03,11491328.0,1747597737.0,2022-03-16
Gala,GALA,0.227781,0.026000000000000002,0.047,0.037000000000000005,551763058.0,1714837250.0,2022-03-16
BitTorrent,BTT,1.812224e-06,0.006999999999999999,0.022000000000000002,0.003,87836205.0,1675881629.0,2022-03-16
Arweave,AR,32.52,-0.003,0.07400000000000001,0.002,50636342.0,1637697784.0,2022-03-16
Huobi BTC,HBTC,41217.27,0.026000000000000002,0.039,0.068,190002.0,1637583015.0,2022-03-16
PancakeSwap,CAKE,5.57,0.026000000000000002,0.01,-0.068,104112686.0,1530696417.0,2022-03-16
Quant,QNT,112.58,0.018000000000000002,0.003,0.013000000000000001,23727064.0,1505335556.0,2022-03-16
Harmony,ONE,0.127445,0.025,0.017,-0.012,75144435.0,1499937034.0,2022-03-16
eCash,XEC,7.9294818e-05,0.019,-0.005,0.14400000000000002,37446216.0,1497455570.0,2022-03-16
Bitcoin SV,BSV,77.11,0.013000000000000001,0.015,-0.019,135219354.0,1461042552.0,2022-03-16
NEO,NEO,20.13,0.024,0.027999999999999997,-0.017,148274906.0,1406977569.0,2022-03-16
TrueUSD,TUSD,1.0,0.0,0.001,0.001,114862495.0,1404670246.0,2022-03-16
Huobi Token,HT,8.98,0.01,0.009000000000000001,-0.025,32112940.0,1392164927.0,2022-03-16
KuCoin Token,KCS,18.41,0.013999999999999999,0.009000000000000001,0.02,8578734.0,1390455505.0,2022-03-16
Celsius Network,CEL,3.18,0.009000000000000001,0.032,0.098,3927635.0,1346075894.0,2022-03-16
Stacks,STX,1.26,0.018000000000000002,0.026000000000000002,0.183,44370134.0,1317492670.0,2022-03-16
Humans.ai,HEART,0.044270474958,0.025,0.086,-0.547,1852838.0,1309127902.0,2022-03-16
Enjin Coin,ENJ,1.4,0.018000000000000002,0.05,0.046,133821819.0,1300650179.0,2022-03-16
Basic Attention Token,BAT,0.822605,0.021,0.055,0.251,324813983.0,1223583998.0,2022-03-16
NEXO,NEXO,2.19,0.015,0.031,0.098,4583402.0,1222563065.0,2022-03-16
Amp,AMP,0.025036137658,0.018000000000000002,0.006999999999999999,0.003,8084731.0,1198878147.0,2022-03-16
Radix,XRD,0.121859,0.015,0.064,-0.001,215995.0,1198319388.0,2022-03-16
Kusama,KSM,126.84,0.025,0.04,0.038,65896976.0,1132594631.0,2022-03-16
Celo,CELO,2.52,0.022000000000000002,0.037000000000000005,-0.076,46620149.0,1074226736.0,2022-03-16
Kadena,KDA,6.23,0.024,0.009000000000000001,0.031,58659719.0,1061714057.0,2022-03-16
Chiliz,CHZ,0.198241,0.026000000000000002,0.024,0.02,109408277.0,1049331415.0,2022-03-16
Dash,DASH,97.64,0.016,0.005,0.03,245449241.0,1035525179.0,2022-03-16
Frax Share,FXS,17.92,0.006,-0.011000000000000001,0.006,4834916.0,1031430071.0,2022-03-16
Pax Dollar,USDP,0.999025,-0.002,0.001,-0.001,57639449.0,994783973.0,2022-03-16
BitDAO,BIT,1.12,0.025,0.019,0.036000000000000004,54570658.0,993438990.0,2022-03-16
GateToken,GT,6.52,0.012,0.031,-0.005,7695401.0,979761512.0,2022-03-16
Convex Finance,CVX,18.29,0.038,0.054000000000000006,0.147,45253981.0,979304335.0,2022-03-16
Synthetix Network Token,SNX,4.24,0.053,0.079,0.084,63349615.0,903998693.0,2022-03-16
Xido Finance,XIDO,30.86,-0.027000000000000003,-0.049,0.7659999999999999,1464061.0,893636559.0,2022-03-16
Loopring,LRC,0.710702,0.03,0.035,-0.033,112235393.0,881663508.0,2022-03-16
NEM,XEM,0.098240605826,0.021,0.043,0.037000000000000005,20866042.0,879585159.0,2022-03-16
Anchor Protocol,ANC,3.1,0.06,0.08800000000000001,-0.18,107525684.0,807556039.0,2022-03-16
Oasis Network,ROSE,0.227889,0.036000000000000004,0.07,0.027000000000000003,65843862.0,794382929.0,2022-03-16
Curve DAO Token,CRV,2.02,0.026000000000000002,0.022000000000000002,-0.006,150926378.0,791197822.0,2022-03-16
Decred,DCR,56.87,0.02,0.14300000000000002,0.08800000000000001,25032753.0,787162797.0,2022-03-16
cUSDT,CUSDT,0.021768404499,0.0,0.0,0.0,8111.5,775425368.0,2022-03-16
Secret,SCRT,4.61,0.017,0.008,0.027000000000000003,19871872.0,763750478.0,2022-03-16
LINK,LN,129.46,0.036000000000000004,0.018000000000000002,0.024,1207902.0,759436472.0,2022-03-16
Mina Protocol,MINA,1.81,0.015,0.105,-0.004,70360743.0,756143474.0,2022-03-16
Holo,HOT,0.00414796568,0.027000000000000003,0.027000000000000003,0.027999999999999997,63199499.0,734353201.0,2022-03-16
Compound,COMP,109.58,0.026000000000000002,0.045,0.052000000000000005,40756551.0,726097698.0,2022-03-16
IoTeX,IOTX,0.076638517501,0.042,0.006999999999999999,0.11699999999999999,91722669.0,717099434.0,2022-03-16
Bitkub Coin,KUB,7.89,0.004,0.0,-0.034,2193655.0,698922310.0,2022-03-16
Neutrino USD,USDN,1.0,0.003,-0.001,0.006999999999999999,15319422.0,687954763.0,2022-03-16
yearn.finance,YFI,18982.86,0.017,0.017,-0.013999999999999999,81875140.0,678377900.0,2022-03-16
Nexus Mutual,NXM,92.51,0.026000000000000002,0.035,0.065,1909.73,633750394.0,2022-03-16
XDC Network,XDC,0.050635431946,-0.002,-0.022000000000000002,0.09699999999999999,9930593.0,616292915.0,2022-03-16
1inch,1INCH,1.5,0.021,0.111,0.163,120457113.0,616145134.0,2022-03-16
WAX,WAXP,0.274089,0.021,0.02,0.0,26837225.0,615219740.0,2022-03-16
Smooth Love Potion,SLP,0.016547553043,0.019,0.018000000000000002,-0.076,99341158.0,614525601.0,2022-03-16
Qtum,QTUM,5.95,0.028999999999999998,0.023,0.036000000000000004,79032386.0,612948390.0,2022-03-16
PAX Gold,PAXG,1935.78,0.006999999999999999,0.005,-0.057,30748651.0,611668819.0,2022-03-16
Sushi,SUSHI,3.12,0.036000000000000004,0.069,0.08199999999999999,132202954.0,603245561.0,2022-03-16
renBTC,RENBTC,40555.22,0.016,0.034,0.048,14829115.0,602582895.0,2022-03-16
Livepeer,LPT,23.82,0.03,0.023,0.024,11291907.0,589774119.0,2022-03-16
Ankr,ANKR,0.072181812557,0.023,0.016,-0.064,40789205.0,587511707.0,2022-03-16
Bancor Network Token,BNT,2.29,0.017,0.033,0.062,26117403.0,583581643.0,2022-03-16
Pocket Network,POKT,0.699085,0.019,-0.003,-0.055,974551.0,580439408.0,2022-03-16
Marinade staked SOL,MSOL,88.63,0.025,0.013999999999999999,0.043,18662090.0,578275391.0,2022-03-16
OMG Network,OMG,4.11,0.019,0.016,0.081,106689838.0,574825195.0,2022-03-16
Zilliqa,ZIL,0.041008132304,0.033,0.032,0.047,37965285.0,571307984.0,2022-03-16
SafeMoon,SFM,0.001028389235,0.038,-0.034,-0.08800000000000001,406894.0,566255393.0,2022-03-16
Render Token,RNDR,2.43,0.024,0.035,-0.031,23720000.0,560228533.0,2022-03-16
Fei USD,FEI,1.0,0.001,0.0,0.003,10254055.0,557210659.0,2022-03-16
Gnosis,GNO,298.83,0.021,0.025,-0.003,2883611.0,553256284.0,2022-03-16
ICON,ICX,0.753601,0.026000000000000002,-0.013000000000000001,0.21,45059623.0,549632622.0,2022-03-16
Ravencoin,RVN,0.051804162049,0.027000000000000003,0.042,0.006,19390191.0,538520749.0,2022-03-16
IOST,IOST,0.022568760363,0.025,0.011000000000000001,0.015,35343794.0,517770891.0,2022-03-16
Bitcoin Gold,BTG,29.74,0.018000000000000002,0.027999999999999997,0.032,9146317.0,517358240.0,2022-03-16
Kava,KAVA,3.16,0.023,0.035,0.034,22753924.0,504959645.0,2022-03-16
UMA,UMA,7.74,0.018000000000000002,0.018000000000000002,-0.016,46067620.0,503487995.0,2022-03-16
OEC Token,OKT,32.27,0.023,0.01,-0.062,5163788.0,488521386.0,2022-03-16
Songbird,SGB,0.062799688152,0.022000000000000002,0.006,-0.13699999999999998,2629530.0,486741272.0,2022-03-16
e-Radix,EXRD,0.122181,0.022000000000000002,0.063,0.004,2588295.0,484119330.0,2022-03-16
Velas,VLX,0.213154,-0.0,0.004,-0.037000000000000005,4105033.0,483094532.0,2022-03-16
Rocket Pool,RPL,30.03,0.024,0.040999999999999995,0.15,578038.0,480593962.0,2022-03-16
Tether Gold,XAUT,1950.12,0.003,-0.002,-0.044000000000000004,3689853.0,480346972.0,2022-03-16
Moonbeam,GLMR,2.38,0.023,0.038,-0.036000000000000004,37324761.0,476681084.0,2022-03-16
Sapphire,SAPP,0.564647,0.02,0.001,0.013999999999999999,432768.0,470978131.0,2022-03-16
Horizen,ZEN,38.73,0.015,0.061,0.026000000000000002,29127070.0,469969529.0,2022-03-16
WOO Network,WOO,0.492556,0.019,0.087,0.124,60339780.0,467152311.0,2022-03-16
Liquity USD,LUSD,1.0,0.0,0.0,-0.008,3222808.0,464727068.0,2022-03-16
Golem,GLM,0.465346,0.016,0.022000000000000002,-0.085,15905189.0,464458665.0,2022-03-16
Rally,RLY,0.180078,0.026000000000000002,0.001,-0.057999999999999996,3356848.0,464413872.0,2022-03-16
Baby Doge Coin,BABYDOGE,2.864e-09,0.026000000000000002,0.021,-0.039,10651029.0,452640717.0,2022-03-16
Audius,AUDIO,0.735289,0.027000000000000003,0.026000000000000002,0.02,7909768.0,447883958.0,2022-03-16
Siacoin,SC,0.008880296534,0.018000000000000002,0.022000000000000002,-0.004,12295120.0,446937901.0,2022-03-16
Metis Token,METIS,146.38,0.026000000000000002,0.009000000000000001,-0.047,38905039.0,436965500.0,2022-03-16
Ontology,ONT,0.499727,0.021,0.028999999999999998,-0.011000000000000001,30824913.0,433758425.0,2022-03-16
0x,ZRX,0.509791,0.025,0.035,0.027999999999999997,29309302.0,427933388.0,2022-03-16
APENFT,NFT,1.523622e-06,0.004,0.005,-0.047,69002807.0,421365369.0,2022-03-16
SKALE,SKL,0.12635,0.013000000000000001,0.043,0.11199999999999999,11283316.0,407687711.0,2022-03-16
SwissBorg,CHSB,0.428284,0.022000000000000002,0.026000000000000002,-0.054000000000000006,1063375.0,403883855.0,2022-03-16
dYdX,DYDX,4.64,0.028999999999999998,0.032,-0.036000000000000004,95015055.0,396760804.0,2022-03-16
Dogelon Mars,ELON,7.24104e-07,0.043,0.07200000000000001,0.027999999999999997,10950097.0,394017729.0,2022-03-16
Olympus,OHM,28.12,0.013999999999999999,-0.019,-0.086,3529301.0,390854092.0,2022-03-16
Constellation,DAG,0.152116,0.013000000000000001,-0.013000000000000001,0.249,1019712.0,382521151.0,2022-03-16
Synapse,SYN,2.17,0.012,-0.078,0.0,9229483.0,380868743.0,2022-03-16
Immutable X,IMX,1.57,0.043,0.012,0.049,87629552.0,365315958.0,2022-03-16
Convex CRV,CVXCRV,1.95,0.038,0.021,0.006999999999999999,96902.91,364340007.0,2022-03-16
Everdome,DOME,0.042328407322,-0.004,0.09,-0.07,44769576.0,363656510.0,2022-03-16
Gemini Dollar,GUSD,1.0,0.003,0.001,0.001,3181078.0,355825684.0,2022-03-16
JUST,JST,0.048936163597,0.013000000000000001,0.005,0.033,74944693.0,355779812.0,2022-03-16
Decentralized Social,DESO,33.97,0.005,0.111,0.192,768392.0,354095011.0,2022-03-16
Polymath,POLY,0.384838,0.017,0.013999999999999999,-0.036000000000000004,12205658.0,344258737.0,2022-03-16
NuCypher,NU,0.419373,0.004,0.01,-0.098,4321357.0,342894249.0,2022-03-16
REN,REN,0.338855,0.032,0.012,-0.012,41048178.0,337192089.0,2022-03-16
Keep Network,KEEP,0.609779,0.012,0.019,-0.066,2299639.0,333366751.0,2022-03-16
Illuvium,ILV,519.92,0.023,0.038,0.033,11072513.0,332435430.0,2022-03-16
Flux,FLUX,1.43,0.016,0.022000000000000002,0.087,15489371.0,330216558.0,2022-03-16
Ethereum Name Service,ENS,14.05,0.04,0.043,0.016,39284120.0,326307175.0,2022-03-16
Hive,HIVE,0.869127,0.015,0.040999999999999995,0.011000000000000001,12455971.0,322775766.0,2022-03-16
Lido DAO,LDO,2.98,0.040999999999999995,0.085,0.515,4675420.0,321983024.0,2022-03-16
STEPN,GMT,0.534126,0.073,0.573,2.935,1013704817.0,318571623.0,2022-03-16
Spell Token,SPELL,0.003547901833,0.015,0.009000000000000001,-0.059000000000000004,27285439.0,317144040.0,2022-03-16
Nervos Network,CKB,0.010554840501,0.013999999999999999,0.02,-0.015,6162463.0,316458006.0,2022-03-16
Kyber Network Crystal,KNC,3.06,0.025,0.008,0.002,40287449.0,313785580.0,2022-03-16
FLEX Coin,FLEX,3.97,0.002,0.006,-0.002,1326196326.0,311600507.0,2022-03-16
HUSD,HUSD,0.999103,0.0,0.001,0.0,43235094.0,310668205.0,2022-03-16
Ultra,UOS,1.15,0.01,0.024,-0.037000000000000005,8976424.0,308351253.0,2022-03-16
ConstitutionDAO,PEOPLE,0.060612313279,0.061,0.102,0.075,143678395.0,307184638.0,2022-03-16
LooksRare,LOOKS,1.29,0.086,0.177,0.231,48697099.0,306843547.0,2022-03-16
DeFi Kingdoms,JEWEL,4.16,0.04,0.016,-0.07400000000000001,11440253.0,302825745.0,2022-03-16
Telcoin,TEL,0.004899527146,0.008,0.027000000000000003,-0.011000000000000001,2843059.0,301743735.0,2022-03-16
Tomb,TOMB,1.18,0.031,0.01,-0.054000000000000006,14140774.0,300452818.0,2022-03-16
Stargaze,STARS,0.401895,0.013999999999999999,-0.005,-0.125,1726553.0,300351592.0,2022-03-16
DigiByte,DGB,0.019668130187,0.03,0.018000000000000002,0.059000000000000004,15693285.0,297257419.0,2022-03-16
DigitalBits,XDB,0.389141,0.023,0.21600000000000003,0.209,3821494.0,296998483.0,2022-03-16
Syscoin,SYS,0.468329,0.023,-0.031,-0.07400000000000001,12673226.0,296323527.0,2022-03-16
Lisk,LSK,2.03,0.015,0.006,0.019,7600165.0,293297599.0,2022-03-16
Tokemak,TOKE,25.32,0.03,0.076,-0.004,6123881.0,292863833.0,2022-03-16
Nano,XNO,2.2,-0.006,0.28800000000000003,0.312,109830513.0,292516870.0,2022-03-16
Tenset,10SET,3.3,0.016,0.03,0.434,3059468.0,289328276.0,2022-03-16
PlayDapp,PLA,0.797778,0.021,0.04,-0.013000000000000001,17641285.0,288940736.0,2022-03-16
SafeMoon [OLD],SAFEMOON,5.06313e-07,0.02,0.025,0.003,3503.42,277800683.0,2022-03-16
Ronin,RON,1.86,0.023,0.028999999999999998,-0.004,2243276.0,276423433.0,2022-03-16
Persistence,XPRT,3.3,0.012,0.045,0.038,2580206.0,273550379.0,2022-03-16
Radio Caca,RACA,0.001341144021,0.027999999999999997,0.040999999999999995,0.099,15540182.0,273386276.0,2022-03-16
Pirate Chain,ARRR,1.44,0.023,0.027999999999999997,0.312,1431339.0,269625697.0,2022-03-16
MAI,MIMATIC,0.99909,0.002,0.006,0.002,11703582.0,269555684.0,2022-03-16
Casper Network,CSPR,0.063408018304,0.023,0.10099999999999999,0.019,11186869.0,262580070.0,2022-03-16
Everscale,EVER,0.191627,-0.011000000000000001,-0.009000000000000001,0.001,6416.99,261949792.0,2022-03-16
SXP,SXP,1.34,0.022000000000000002,0.059000000000000004,0.038,71885529.0,258788391.0,2022-03-16
Floki Inu,FLOKI,2.8340322e-05,0.04,0.042,-0.037000000000000005,6481180.0,257703958.0,2022-03-16
Zenon,ZNN,5.35,0.011000000000000001,0.025,-0.019,42667.91,257245207.0,2022-03-16
Injective,INJ,5.33,0.027000000000000003,0.024,0.021,16026155.0,256116913.0,2022-03-16
MXC,MXC,0.104299,-0.0,0.031,0.175,21346445.0,255853059.0,2022-03-16
WINkLink,WIN,0.00026633365,0.011000000000000001,0.02,-0.009000000000000001,126343198.0,255157055.0,2022-03-16
WazirX,WRX,0.558123,0.012,-0.002,-0.073,7071983.0,254216018.0,2022-03-16
Perpetual Protocol,PERP,3.85,0.019,0.012,-0.009000000000000001,8343005.0,251018197.0,2022-03-16
Mobox,MBOX,2.04,0.026000000000000002,-0.024,0.06,38070293.0,250469440.0,2022-03-16
Astroport,ASTRO,2.02,0.034,-0.001,0.396,5991169.0,249658255.0,2022-03-16
Trust Wallet Token,TWT,0.721272,0.026000000000000002,-0.084,0.065,45061838.0,248213542.0,2022-03-16
Serum,SRM,1.87,0.02,0.026000000000000002,0.034,40405418.0,247791442.0,2022-03-16
Coin98,C98,1.34,0.024,0.035,0.066,52212880.0,247303702.0,2022-03-16
Mirror Protocol,MIR,1.71,0.016,-0.046,0.13,109251651.0,247146075.0,2022-03-16
Zipmex Token,ZMT,2.79,-0.002,0.004,-0.005,14206660.0,246790193.0,2022-03-16
Tribe,TRIBE,0.543192,0.011000000000000001,0.01,0.028999999999999998,8017450.0,246535822.0,2022-03-16
VVS Finance,VVS,2.2321211e-05,0.018000000000000002,0.022000000000000002,-0.087,3849460.0,235411080.0,2022-03-16
Metahero,HERO,0.045156504195,0.023,0.034,-0.106,8366250.0,233755062.0,2022-03-16
Creditcoin,CTC,1.14,0.015,0.015,0.023,3179625.0,233390471.0,2022-03-16
Lido Staked SOL,STSOL,87.91,0.024,0.013000000000000001,0.04,4624558.0,233265607.0,2022-03-16
API3,API3,4.7,0.027999999999999997,-0.008,-0.10099999999999999,29731985.0,230984150.0,2022-03-16
Escoin Token,ELG,3.37,0.024,0.021,0.051,685965.0,228752259.0,2022-03-16
Function X,FX,0.488809,0.019,0.005,-0.005,2065790.0,228173732.0,2022-03-16
Raydium,RAY,2.51,0.013000000000000001,0.055999999999999994,0.035,33025947.0,227133027.0,2022-03-16
CoinEx Token,CET,0.061152343679,0.005,0.035,0.07200000000000001,862651.0,226665111.0,2022-03-16
Euro Tether,EURT,1.1,0.004,0.008,0.012,25282592.0,226370344.0,2022-03-16
Fetch.ai,FET,0.327851,0.022000000000000002,0.006999999999999999,0.024,21546674.0,224454559.0,2022-03-16
Dent,DENT,0.002351313514,0.023,0.017,0.008,18982568.0,223840664.0,2022-03-16
Chia,XCH,65.15,0.012,-0.021,-0.084,10252044.0,221396095.0,2022-03-16
Status,SNT,0.056745127667,0.012,0.006999999999999999,-0.034,7688360.0,219753630.0,2022-03-16
Power Ledger,POWR,0.503878,0.01,0.005,-0.023,32211271.0,216689443.0,2022-03-16
Medibloc,MED,0.040119247871,0.011000000000000001,0.025,0.025,7724520.0,215001420.0,2022-03-16
xSUSHI,XSUSHI,3.8,0.002,0.033,0.055,107293.0,213613208.0,2022-03-16
Chromia,CHR,0.37938,0.028999999999999998,0.045,0.031,58407751.0,213564555.0,2022-03-16
Yield Guild Games,YGG,2.43,0.027000000000000003,0.009000000000000001,-0.057,17537941.0,212099797.0,2022-03-16
Telos,TLOS,0.819159,0.02,0.052000000000000005,-0.096,4398496.0,212084558.0,2022-03-16
COTI,COTI,0.201515,0.017,0.048,0.008,15582614.0,210898806.0,2022-03-16
Alchemix USD,ALUSD,0.997171,-0.001,-0.001,0.0,3032734.0,208898318.0,2022-03-16
Celer Network,CELR,0.037068909834,0.028999999999999998,0.027999999999999997,-0.003,35862409.0,208463091.0,2022-03-16
Orbs,ORBS,0.072194784903,0.006,0.02,0.023,28204447.0,208178410.0,2022-03-16
Vulcan Forged,PYR,8.73,0.027000000000000003,0.039,-0.044000000000000004,38526780.0,207895650.0,2022-03-16
Energy Web Token,EWT,4.91,0.015,-0.009000000000000001,0.042,2224285.0,205388247.0,2022-03-16
Astar,ASTR,0.10323,0.009000000000000001,0.006999999999999999,0.032,7991761.0,205235595.0,2022-03-16
Origin Protocol,OGN,0.434115,0.006999999999999999,-0.068,0.612,182478529.0,205164994.0,2022-03-16
Cratos,CRTS,0.002952176693,-0.009000000000000001,-0.037000000000000005,-0.13,13535131.0,203670465.0,2022-03-16
Ocean Protocol,OCEAN,0.469383,0.027999999999999997,0.051,0.07400000000000001,22022827.0,202627972.0,2022-03-16
XYO Network,XYO,0.016347118202,0.001,0.009000000000000001,-0.032,4569339.0,202482367.0,2022-03-16
Dopex,DPX,1126.14,0.034,0.006,0.031,4629323.0,200498616.0,2022-03-16
PLEX,PLEX,0.815228,0.013000000000000001,0.027999999999999997,-0.008,15377424.0,198958494.0,2022-03-16
LUKSO Token,LYXE,13.05,0.016,0.015,-0.001,1147300.0,198688328.0,2022-03-16
DAO Maker,DAO,2.19,0.012,-0.01,-0.042,3559341.0,196210425.0,2022-03-16
Boba Network,BOBA,1.21,0.006999999999999999,0.061,0.136,4382013.0,192933914.0,2022-03-16
Mdex,MDX,0.223833,0.018000000000000002,0.028999999999999998,0.051,7274677.0,192821569.0,2022-03-16
UFO Gaming,UFO,7.530048e-06,0.03,0.033,-0.009000000000000001,5098371.0,191533622.0,2022-03-16
Ardor,ARDR,0.192938,0.013999999999999999,0.02,-0.011000000000000001,6272018.0,191059042.0,2022-03-16
Pundi X,PUNDIX,0.740085,0.013999999999999999,0.022000000000000002,-0.006,4296268.0,190637766.0,2022-03-16
Mask Network,MASK,4.05,0.032,0.07,0.023,46857218.0,189430950.0,2022-03-16
Kyber Network Crystal Legacy,KNCL,3.07,0.025,0.02,-0.0,191301772.0,189342359.0,2022-03-16
